address,voting_power
0x322633aA7Cd8e6cBC78c408B78844f9E4D61385a,"1,867"
0xc356FE4054cD6C1AAf9f0B1f273ab31fa915e116,"1,860"
0x82c114274Ff6f43ec08aC409c05f6f3d2DF616dB,"1,857"
0xdb87ea1DF591058dE748934e871Aae2ADC388c49,"1,849"
0xbcA2bE854faEb406189a079C381284bec3953a38,"1,841"
0x1708C67F9d3095c92DDCf92E920f11A0aB64eD53,"1,530"
0x25B6c539F800A93D2f908ed365EC77eAae293A4e,"1,443"
0xc960517deE7a3FC8b1F28481fd82756023D3470D,"1,436"
0x6358D5713C74b387b639DeCBF2DeAaDbE0e89D2A,"1,356"
0x643A683Ab413497fCF696C735c14362Dba9D9c86,"1,352"
0x19C743199F9611B85e66498b869Be55E26e43aCf,"1,009"
0xda3b62C6f1611894e578c908EC90Ec2765872088,"1,000"
0xb1a3EB48091fcfC4EdD53745d4afb1763F004B88,"1,000"
0x5b0254bd9Dc7CFFCfDfBed999F6390AB2ac3811B,977
0x9DfCf3490E2Ae1568F34425e132f4DB809908641,975
0x339fF09680b65FcD81D38A11Be4E75F34c8966Fc,975
0x89a4CF785639F40878B520Ad4b565E223b5E3f8E,975
0x8bc7cEC505e3B06296596C35179E56c9Bc2586dE,975
0xde10C647Ce07B2E12bAD2E81c4174e9ACE254Ebc,975
0x0E9B063789909565CEdA1Fba162474405A151E66,951
0xbdeb16873Da010Ce7612ffFafAE2E7A5d04bc58E,913
0xB07AA3088C37E68C216D405fB6aB64e717e3F5AC,864
0xcec9e46FC2f9b1342123600d55e6e821a10E8b2F,806
0x05690E5c175E80f69a918d822f5beCC3e6Fe7F0E,779
0x0eF6bA8Daf6E0A711bAee93eb8BBABcC3C329b5f,779
0x2AAE1F9422bC0495811aE05c58027a795c255a5e,779
0xc92eA4a574F8D61567240ae5260F8BE27Bef2c6B,673
0x13Ce6F1f2abACa6B0ee3813d6D8965740944dFD0,619
0xD03aC7736dc5115E983ADfe49a10547731914cC6,600
0x7e6D98902952169A0c2Be62B077885A98013DCEe,550
0x0D79543e52DaB6721eb5EC5EA8814cfEA923A65C,519
0xD7a14825D815D200d20b9681e4b07c6cE9D863cB,510
0x9c9463F9cf0F2c7Ad231C00B4971e68c29c298Cb,501
0x9B41530560681FaF2297DE704b1dF682759b0eB8,500
0xDe7945f99f8dF3C03822c91656783699f0fFd7F8,500
0xaebAea3A77E0Fa4784654b32C5d49370e742c93C,500
0xD03Ad690ed8065EDfdC1E08197a3ebC71535A7ff,424
0xC9498609ca16244f6eBf9cFb9B995Cc4528acB3C,383
0xfd6A9Aef8cb388c3d357470E322B3ff9f6D02e57,311
0x78C368601cda3AfFea7b3709CC5782b4562fE3E0,280
0x1A64eD145A3CFAB3AA3D08721D520B4FD6Cf2Ce2,212
0xa5f146cBd3eE13F482315dD0F873c2bFbBc5F2C4,206
0xe250560e1E025f8938c349745Cb8f41Af5545Be4,205
0x949253DBCf967385CF057c64Ba7ff700A8749A7E,194
0x1182c0EBEF52a6E4D5C424E81FF4CDe3f81D62Fe,143
0xD9bF73E180a7219461215f866128C6483DeE7050,143
0x9BF50af563e9B8DcCbEB681ab3260CD8619f9F13,143
0x664e14C4df99067873248CBA25E51c61c885Dbdc,110
0x88Fa395Aa8A7B57cFF6572Fd37B585e1E8CE3DAc,103
